documento,chunk_id,chunk_len,pca_x,pca_y
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,59,1000,-0.29082686,-0.04850565
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,60,999,-0.44806418,0.10483471
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,61,1000,-0.39002657,0.11168427
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,62,1000,-0.41806248,0.09108797
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,63,999,-0.33495277,0.11050742
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,64,999,-0.38516048,0.17408767
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,65,999,-0.45315152,0.14763723
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,66,999,-0.32033285,0.15717918
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,67,1000,-0.36581844,0.1909712
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,68,999,-0.40992913,0.13294382
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,69,1000,-0.45973974,0.18691446
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,70,999,-0.4921232,0.20748089
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,71,998,-0.47906628,0.16392498
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,72,999,-0.37498856,0.19272444
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,73,999,-0.4795703,0.24145603
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,74,998,-0.37648252,0.24168508
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,75,1000,-0.35009387,0.07610699
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,76,1000,-0.30605328,0.008095475
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,77,999,-0.41925102,0.14811738
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,78,1000,-0.34589353,-0.0030687666
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,79,1000,-0.43996188,0.24264939
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,80,1000,-0.47112787,0.20285672
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,81,1000,-0.3717835,0.18664062
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,82,1000,-0.36289003,0.18840395
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,83,1000,-0.38980353,0.14617452
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,84,999,-0.32239908,0.055669997
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,85,1000,-0.38637438,0.13455623
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,86,1000,-0.29861873,0.25300062
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,87,1000,-0.32090598,0.2474404
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,88,1000,-0.4478209,0.19430447
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,89,1000,-0.33615354,0.16856948
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,90,1000,-0.38307205,0.046140414
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,91,999,-0.25970802,-0.075702764
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,92,999,-0.19337215,0.043755017
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,93,999,-0.31521213,0.041398566
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,94,1000,-0.34581184,0.050393716
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,95,1000,-0.10513859,0.072613835
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,96,997,-0.23539528,0.03387546
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,97,998,-0.39920428,0.12099761
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,98,998,-0.21487129,-0.037684634
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,99,999,-0.26343897,-0.04371205
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,100,999,-0.22036006,-0.01541868
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,101,1000,-0.23446876,-0.00852285
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,102,999,-0.16061798,0.10969107
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,103,999,-0.37706047,0.18812369
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,104,1000,-0.28756902,0.21967368
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,105,1000,-0.31172422,0.15256047
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,106,1000,-0.27836955,0.09317844
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,107,1000,-0.23923972,0.16976787
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,108,1000,-0.22727229,0.040151667
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,109,1000,-0.47041282,0.06969978
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,110,999,-0.4032243,-0.028067257
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,111,1000,-0.41344988,0.052057214
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,112,1000,-0.42452624,0.005681092
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,113,1000,-0.178477,0.044933643
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,114,1000,-0.32113874,-0.04407975
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,115,1000,-0.40186173,0.047501698
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,116,1000,-0.25613117,0.18870454
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,117,1000,-0.4810059,0.07958576
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,118,1000,-0.36059391,0.0592027
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,119,1000,-0.33443326,0.007778264
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,120,999,-0.39514777,0.02984037
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,121,1000,-0.35807136,-0.057132207
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,122,997,-0.037948724,-0.12993169
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,123,1000,0.047826458,-0.14446828
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,124,1000,-0.053726155,-0.13084848
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,125,1000,-0.11414562,-0.07389383
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,126,1000,-0.03526641,-0.02074016
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,127,999,0.31843895,-0.28274196
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,128,1000,0.060779363,-0.3006918
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,129,999,0.10038373,-0.39247108
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,130,998,0.14649642,-0.11691055
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,131,1000,0.06032875,-0.16402172
fia_2026_formula_1_technical_regulations_issue_8_-_2024-06-24.pdf,132,1000,-0.010234022,-0.1335996
